st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
2,6B,NCT04016714,0.040411498583466265,0,0.11845990716523368,0.0336976455618311,PCV15 vs PCV13
2,6B,NCT04384107,0.12020224746033259,0,0.28486993114911585,0.06733087929798696,PCV15 vs PCV13
2,6B,NCT02987972_lot1,-0.021829058665924883,-0.1041902932662315,0.03276999645808187,0.034808477614527204,PCV15 vs PCV13
2,6B,NCT02987972_lot2,0.06964497752400378,0,0.17876257242090227,0.04583750508822999,PCV15 vs PCV13
3,9V,NCT01215188,0.018957084147126047,0,0.11058049382625317,0.034051549290445446,PCV15 vs PCV13
3,9V,NCT02037984,0,-0.10625228914934398,0.15428064961726234,0.05829479588511985,PCV15 vs PCV13
3,9V,NCT02531373,0,-0.14328533123273934,0.05990937195970998,0.04802209489559082,PCV15 vs PCV13
3,9V,NCT03620162,0,-0.04169395943670024,0.05389517249338292,0.021509829431137776,PCV15 vs PCV13
3,9V,NCT03692871,0,-0.1053638520102957,0.10549847229722001,0.047441582142062504,PCV15 vs PCV13
3,9V,NCT03885934,0.033307208166661884,0,0.20805913743769489,0.06477511238039693,PCV15 vs PCV13
3,9V,NCT03893448,0.0509648972129404,0,0.15768190722392736,0.053116544357248253,PCV15 vs PCV13
3,9V,NCT04016714,0.052497864781510195,0,0.1716742811412629,0.058741719971665544,PCV15 vs PCV13
3,9V,NCT04384107,0.03261430363360551,0,0.12634598290434965,0.03829816955798477,PCV15 vs PCV13
3,9V,NCT02987972_lot1,0.059804223087196906,0,0.18851446027489102,0.06233603080527945,PCV15 vs PCV13
3,9V,NCT02987972_lot2,0.04058697692652524,0,0.1429368720432458,0.04633055573888098,PCV15 vs PCV13
4,14,NCT01215188,0.09638912404692457,0,0.23098510599144614,0.05908117052653417,PCV15 vs PCV13
4,14,NCT02037984,-0.05730228103846535,-0.34247422294483687,0.14695834287222595,0.12152305158527903,PCV15 vs PCV13
4,14,NCT02531373,0.04615399124922215,-0.11712943331759615,0.30548574033422515,0.10366732533442363,PCV15 vs PCV13
4,14,NCT03620162,0.06092763995975359,-0.02562945605961819,0.20422352284838083,0.058492751982357614,PCV15 vs PCV13
4,14,NCT03692871,0.10974418492082494,-0.069953368367087,0.3970534052571234,0.12037360264251779,PCV15 vs PCV13
4,14,NCT03885934,0.13228473454453482,0,0.366371834701428,0.09487974400758216,PCV15 vs PCV13
4,14,NCT03893448,0.09164032910339603,0,0.19607186739953109,0.048408174709038805,PCV15 vs PCV13
4,14,NCT04016714,0.10395408302953202,0,0.22812815622842,0.055486493485988726,PCV15 vs PCV13
4,14,NCT04384107,0.07387407827179837,0,0.20197083461057563,0.0524318766921222,PCV15 vs PCV13
4,14,NCT02987972_lot1,0.053870580989887173,-0.009262065359385984,0.15501408306276876,0.04434194485906679,PCV15 vs PCV13
4,14,NCT02987972_lot2,0.07322122998890812,0,0.19290467430724334,0.048974954262611024,PCV15 vs PCV13
5,18C,NCT01215188,0.11267399438485848,0,0.27951856059410357,0.09207293631431708,PCV15 vs PCV13
5,18C,NCT02037984,0.043400940770397245,-0.004618835601589795,0.2551887165197076,0.08081558014032071,PCV15 vs PCV13
