st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
8,1,NCT00689351,-0.11033667157944471,-2.114549976512076,2.7361212330163815,1.2456487487642605,PCV13 vs PCV7
8,1,NCT00452790,-0.07833619068921083,-1.4746632000372875,1.9725903693686917,0.8769618190663112,PCV13 vs PCV7
9,3,NCT00366340,0.4325126397922241,-0.7040623665039307,2.0612165667826075,0.7087940230461051,PCV13 vs PCV7
9,3,NCT00688870,0.400351316269826,-0.666931642991752,1.8931177287448075,0.6570390481855418,PCV13 vs PCV7
9,3,NCT00689351,0.46449592527832406,-0.7546549121022024,2.1895321796926344,0.7625324698449101,PCV13 vs PCV7
9,3,NCT00452790,0.35023817669975355,-0.5715115011238668,1.6603095372308447,0.5716812845625026,PCV13 vs PCV7
10,5,NCT00366340,-0.04659802820794212,-0.8160475769392429,1.150816969944016,0.49040467976061686,PCV13 vs PCV7
10,5,NCT00688870,-0.04393505640173068,-0.7628096865850198,1.0371844724355608,0.45436623055669845,PCV13 vs PCV7
10,5,NCT00689351,-0.0635895685381942,-1.1215657169189963,1.567832906779645,0.668528019487336,PCV13 vs PCV7
10,5,NCT00452790,-0.038516964908948736,-0.6815445787856902,0.9481354636551709,0.402552386382727,PCV13 vs PCV7
11,6A,NCT00366340,-0.5896725730009089,-0.954449702123907,-0.2635321006282441,0.17455912717661193,PCV13 vs PCV7
11,6A,NCT00688870,-0.5885452242988487,-0.954682183963889,-0.2623201393779661,0.17778034113817587,PCV13 vs PCV7
11,6A,NCT00689351,-0.7353424536782405,-1.1950589309778057,-0.32705672818837056,0.22444171141698988,PCV13 vs PCV7
11,6A,NCT00452790,-0.5515603299620173,-0.8854635763813747,-0.24533192813540292,0.16352586440038946,PCV13 vs PCV7
12,7F,NCT00366340,-0.4961287537853498,-1.8632237050129843,0.9195514515607589,0.6832606683487406,PCV13 vs PCV7
12,7F,NCT00688870,-0.5374589688561411,-2.0178192619940227,0.9926105734089129,0.7419021490541737,PCV13 vs PCV7
12,7F,NCT00689351,-0.6131009710682758,-2.2902272776852963,1.1447153414127007,0.8465829468838624,PCV13 vs PCV7
12,7F,NCT00452790,-0.4331984069843431,-1.619715595582677,0.7930088566326065,0.5955045646893672,PCV13 vs PCV7
13,19A,NCT00366340,-0.08070438764121057,-0.4198867690576572,0.29659459367089175,0.18511177309435128,PCV13 vs PCV7
13,19A,NCT00688870,-0.01853686469505922,-0.11535643543503266,0.07744768696647922,0.04766788323123979,PCV13 vs PCV7
13,19A,NCT00689351,-0.039960089012153865,-0.2172746490288005,0.15225362364933476,0.09308654682683455,PCV13 vs PCV7
13,19A,NCT00452790,-0.06463824113603622,-0.3369502561869299,0.23765969161993353,0.14942438412725367,PCV13 vs PCV7
2,6B,NCT03896477,0.012085140169168396,-0.07431779622156875,0.1091154192730091,0.04576228276009778,PCV13 vs PCV10
3,9V,NCT03896477,-0.0010056128177744483,-0.11479310867750941,0.16329939739805277,0.06845935568746496,PCV13 vs PCV10
4,14,NCT03896477,0.03555950167983868,-0.015000167304177503,0.14014230460833269,0.040772287377008054,PCV13 vs PCV10
6,19F,NCT03896477,-0.018107328945189405,-0.15860061362040204,0.14251903323185577,0.07481081251460855,PCV13 vs PCV10
7,23F,NCT03896477,0.05481833569997008,-0.02885043394774331,0.18240775777237786,0.05365676976084633,PCV13 vs PCV10
8,1,NCT03896477,2.845423088069232e-4,-0.04724002591885166,0.03615887819109576,0.019847188020606026,PCV13 vs PCV10
10,5,NCT03896477,-0.010098723939086174,-0.19181923146033472,0.25845782622973507,0.11065580530113257,PCV13 vs PCV10
11,6A,NCT03896477,-0.2598933288370531,-0.45404891544731724,-0.11385031284629137,0.08727936246429019,PCV13 vs PCV10
12,7F,NCT03896477,-0.03329392816759835,-0.1449844884042235,0.06659467311418893,0.05177894523709584,PCV13 vs PCV10
13,19A,NCT03896477,-0.04510362116586575,-0.2442243289085219,0.16731588278021253,0.10483082269654767,PCV13 vs PCV10
1,4,CTRI/2020/02/023129,0.04053232729601852,-0.10679264576922202,0.23081912992061002,0.08062623253352616,PCV14 vs PCV13
2,6B,CTRI/2020/02/023129,-0.12002662165758915,-0.30036077815538703,-0.008431459033016939,0.07396980672983619,PCV14 vs PCV13
3,9V,CTRI/2020/02/023129,2.645069176070436e-4,-0.08046426120738281,0.0643723652432685,0.03384708520768199,PCV14 vs PCV13
4,14,CTRI/2020/02/023129,-0.041345932156849674,-0.15747403610148952,0.01733721785433236,0.04571596748166905,PCV14 vs PCV13
5,18C,CTRI/2020/02/023129,0.08546496492461264,-0.13980194463229542,0.35664461052804697,0.12076511514748928,PCV14 vs PCV13
6,19F,CTRI/2020/02/023129,0.00159399309844388,-0.048689940989522076,0.06246530269504973,0.024617462027947498,PCV14 vs PCV13
7,23F,CTRI/2020/02/023129,-0.017133894652054504,-0.1379280591988964,0.04639039080802271,0.045770157999888775,PCV14 vs PCV13
8,1,CTRI/2020/02/023129,0.007362657532310912,-0.20613709645611625,0.15747998037770986,0.08900738671111648,PCV14 vs PCV13
9,3,CTRI/2020/02/023129,0.005733307813829747,-0.029516425649166456,0.08472946773272434,0.02811788541805891,PCV14 vs PCV13
10,5,CTRI/2020/02/023129,-8.50277239567987e-5,-0.0703783784619988,0.07391764550726487,0.03349303674016823,PCV14 vs PCV13
12,7F,CTRI/2020/02/023129,0.01622240999600466,-0.046554825170933616,0.1144809879255495,0.039148855089409525,PCV14 vs PCV13
13,19A,CTRI/2020/02/023129,0.004236533913478002,-0.04206694311104769,0.06541450826842138,0.025778795585846684,PCV14 vs PCV13
1,4,NCT01215188,0.0018602126761662063,-0.02520603143698734,0.043075558549111534,0.01625578657240896,PCV15 vs PCV13
1,4,NCT02037984,-0.030302134885520804,-0.2151283405911735,0.10538992025624237,0.07721591773862228,PCV15 vs PCV13
1,4,NCT03692871,-0.005366908381925661,-0.15655410751565207,0.10388185296991077,0.06265958290566832,PCV15 vs PCV13
1,4,NCT03893448,0.003390228175156107,-0.018623545867964327,0.041771540083678796,0.014405117014388347,PCV15 vs PCV13
1,4,NCT04384107,0.0201786666678081,-0.05284644839901949,0.11936062671370275,0.042187893860126446,PCV15 vs PCV13
1,4,NCT02987972_lot1,-0.0015709819238023393,-0.04801889253403297,0.030235759054968038,0.018149149289386646,PCV15 vs PCV13
1,4,NCT02987972_lot2,-2.937701294425388e-4,-0.03905278435119928,0.035227827958060814,0.01680240234008455,PCV15 vs PCV13
1,4,NCT03848065,0.03967455440134415,-0.10478709023085979,0.22587792714171978,0.07843204532075777,PCV15 vs PCV13
2,6B,NCT01215188,0.12850593462226478,0.038041955544561155,0.27384867136158636,0.05989440185310438,PCV15 vs PCV13
2,6B,NCT02037984,0.31394531554694183,0.08571026321156598,0.6780961590366857,0.1529694406610961,PCV15 vs PCV13
2,6B,NCT03692871,0.11186326484585285,-0.049560586434894284,0.3611994656961483,0.10539786012997829,PCV15 vs PCV13
2,6B,NCT03893448,0.06028495662877065,0.014990137022072159,0.13464588396292235,0.030907096692526434,PCV15 vs PCV13
2,6B,NCT04384107,0.15908912361088756,0.056848983832274984,0.30730920926134436,0.06442635183443081,PCV15 vs PCV13
2,6B,NCT02987972_lot1,-0.008248357860548339,-0.0842555061072884,0.06138924732764045,0.03543097882817351,PCV15 vs PCV13
2,6B,NCT02987972_lot2,0.028677734636934016,-0.03300590901755811,0.11125727138357584,0.03585146200750814,PCV15 vs PCV13
2,6B,NCT03848065,0.1856326642267252,0.04809701667158244,0.41203346111623423,0.09342546137558705,PCV15 vs PCV13
3,9V,NCT01215188,3.5030888031695184e-4,-0.0783813506370352,0.05758749603272603,0.03287731914271101,PCV15 vs PCV13
3,9V,NCT02037984,3.2964021349135564e-4,-0.14494010000689037,0.11777280150887662,0.061080182635459536,PCV15 vs PCV13
3,9V,NCT03692871,-1.8052859977002456e-4,-0.09302987611579544,0.08091212863322052,0.039976784644384956,PCV15 vs PCV13
3,9V,NCT03893448,1.3481786263502826e-4,-0.04131409563321325,0.03150643056647365,0.017119425624354378,PCV15 vs PCV13
3,9V,NCT04384107,1.7236202923642807e-4,-0.06621695572527395,0.04721618686630077,0.02692526733048969,PCV15 vs PCV13
3,9V,NCT02987972_lot1,1.442358134116084e-4,-0.05683131407098398,0.044225589368606835,0.023670866613247604,PCV15 vs PCV13
3,9V,NCT02987972_lot2,-2.1524090387581296e-4,-0.032381767162442475,0.04145887670963208,0.01680417942023628,PCV15 vs PCV13
3,9V,NCT03848065,2.2890554992738288e-4,-0.1282920985139082,0.09628255478129352,0.05436551370059523,PCV15 vs PCV13
4,14,NCT01215188,0.06089661316610373,-0.015489255120420342,0.16306242454303677,0.04513262222299705,PCV15 vs PCV13
4,14,NCT02037984,0.09701160807109854,-0.03048947271349038,0.3406499029207358,0.09510365718081835,PCV15 vs PCV13
4,14,NCT03692871,0.0690540747533408,-0.03482996814587873,0.28640543283494224,0.08565208036703632,PCV15 vs PCV13
4,14,NCT03893448,0.07338212157380708,-0.017280925749045252,0.17760130267581384,0.04969012510271682,PCV15 vs PCV13
4,14,NCT04384107,0.05768635914879461,-0.015347634875875314,0.163615359349653,0.04517682474662083,PCV15 vs PCV13
4,14,NCT02987972_lot1,0.023042947668102443,-0.009676414754315821,0.09315698091096715,0.026968452989450616,PCV15 vs PCV13
4,14,NCT02987972_lot2,0.03636390021765301,-0.010326050702635677,0.12335178692680615,0.03423055542923576,PCV15 vs PCV13
4,14,NCT03848065,0.027923102437916736,-0.04621077283895645,0.15888094987291634,0.05057137774066573,PCV15 vs PCV13
5,18C,NCT01215188,0.06541729357774351,-0.10339170718961481,0.253301122501613,0.08751114902799377,PCV15 vs PCV13
5,18C,NCT02037984,0.006985343167749569,-0.055346030854753196,0.1187812351879706,0.042664930491243536,PCV15 vs PCV13
5,18C,NCT03692871,0.0025611091820110232,-0.09954708930355301,0.13420186824904237,0.05384537157092636,PCV15 vs PCV13
5,18C,NCT03893448,0.04037543390358822,-0.0637848942912697,0.15639061216359731,0.05436706768582436,PCV15 vs PCV13
5,18C,NCT04384107,0.04286139666815547,-0.06960434748848866,0.1699308435686232,0.06050571889886968,PCV15 vs PCV13
