st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
8,1,NCT00689351,-0.7671622185365803,-3.2295891936627688,0.12532208878624276,0.9708953673576858,PCV13 vs PCV7
8,1,NCT00452790,-0.11165142821390805,-1.9387379468443486,0.0036379517877384807,0.5862966083879829,PCV13 vs PCV7
9,3,NCT00366340,0,-0.811605870828393,0.2876867837409881,0.2670937863364513,PCV13 vs PCV7
9,3,NCT00688870,0,-0.7195624415000315,0.23942342038647646,0.23258336082055603,PCV13 vs PCV7
9,3,NCT00689351,0,-0.8445024365743696,0.30002115622892284,0.2768759653343475,PCV13 vs PCV7
9,3,NCT00452790,0,-0.5852534549041848,0.17216312590817834,0.1825815583676823,PCV13 vs PCV7
10,5,NCT00366340,0,-0.990006727828837,0.06267679496640906,0.303134795410567,PCV13 vs PCV7
10,5,NCT00688870,-0.028755485875291864,-1.0822578860071714,0.12636998611794667,0.3437691617859661,PCV13 vs PCV7
10,5,NCT00689351,-0.33751836269954794,-1.7438140097962447,0.24290770834998032,0.5424582201004097,PCV13 vs PCV7
10,5,NCT00452790,0,-0.7871533183659201,0.02739721794734658,0.24070971527657836,PCV13 vs PCV7
11,6A,NCT00366340,-0.49735791735205814,-1.0303001594274561,0,0.2977348881902209,PCV13 vs PCV7
11,6A,NCT00688870,-0.8123531546997156,-1.8159957405971487,-0.1415888596224407,0.4119470997138263,PCV13 vs PCV7
11,6A,NCT00689351,-1.0136116172774863,-2.194467849379945,-0.2741402510358403,0.48130434288668844,PCV13 vs PCV7
11,6A,NCT00452790,-0.5107035406529363,-1.0330125579104548,0,0.2883092683146338,PCV13 vs PCV7
12,7F,NCT00366340,-0.13331342394947532,-1.7851964815236427,0,0.5415266539412672,PCV13 vs PCV7
12,7F,NCT00688870,-0.28709530983233655,-1.9974761953733124,0.012361520269097854,0.6035413252897437,PCV13 vs PCV7
12,7F,NCT00689351,-0.6139262309092581,-2.4908331680296483,0.05617935839460359,0.7352954319165176,PCV13 vs PCV7
12,7F,NCT00452790,-0.07041144650924114,-1.6070608460847684,0,0.4928644198042908,PCV13 vs PCV7
13,19A,NCT00366340,-0.011214303352551136,-0.6030267202946895,0.04054264682098766,0.19047681820551857,PCV13 vs PCV7
13,19A,NCT00688870,-0.02709640168046512,-0.3711244915641342,0.014098705368939188,0.11123453750111864,PCV13 vs PCV7
13,19A,NCT00689351,-0.14747017769605764,-0.7710625384571465,0.035440934071913496,0.23582094696516684,PCV13 vs PCV7
13,19A,NCT00452790,0,-0.48408665406399987,0.03061129104069396,0.1542307545171534,PCV13 vs PCV7
2,6B,NCT03896477,0,-0.07913974193846486,0.11962420791797494,0.0470180850611402,PCV13 vs PCV10
3,9V,NCT03896477,0,-0.17896272824581397,0.050272252898937754,0.0605483875056405,PCV13 vs PCV10
4,14,NCT03896477,0.0358618272129938,-0.006299201803851683,0.22653034464062988,0.06771978957714453,PCV13 vs PCV10
6,19F,NCT03896477,-0.09435227987626593,-0.5094742629649464,0.052574142006661,0.15440469866820816,PCV13 vs PCV10
7,23F,NCT03896477,0.0713577079998915,0,0.4158987948155088,0.12025255661514964,PCV13 vs PCV10
8,1,NCT03896477,0.00871225483902105,-0.031189259477263365,0.15485663021128654,0.04865631826824366,PCV13 vs PCV10
10,5,NCT03896477,0,-0.32401452319991836,0.03294567500187809,0.10703852608373353,PCV13 vs PCV10
11,6A,NCT03896477,-0.3702341746768072,-0.9288319570961813,0,0.21960618062919862,PCV13 vs PCV10
12,7F,NCT03896477,-0.08109604046018637,-0.4162832455727957,0.0066727028365708985,0.12290129597589768,PCV13 vs PCV10
13,19A,NCT03896477,-0.0935122787965621,-0.6736224216862876,0.03379838748669261,0.2088338904191061,PCV13 vs PCV10
1,4,CTRI/2020/02/023129,0.04724093460162626,-0.005550051421728697,0.3424224435011509,0.10528597629550698,PCV14 vs PCV13
2,6B,CTRI/2020/02/023129,-0.1065479359490884,-0.3893818162908642,0,0.11206575225363354,PCV14 vs PCV13
3,9V,CTRI/2020/02/023129,0,-0.04538097783737762,0.11224585442783491,0.03976913881296284,PCV14 vs PCV13
4,14,CTRI/2020/02/023129,-0.07428688467821543,-0.34280396128192325,0.010315823287810734,0.09916703224828384,PCV14 vs PCV13
5,18C,CTRI/2020/02/023129,0.10517589273946237,0,0.5857697360166063,0.17454585601566655,PCV14 vs PCV13
6,19F,CTRI/2020/02/023129,0.0028558548821879803,-0.03599070252122947,0.19265485881365302,0.058335394878602245,PCV14 vs PCV13
7,23F,CTRI/2020/02/023129,-0.006965443653887959,-0.27861274976654815,0.07197846306823177,0.09134773960563974,PCV14 vs PCV13
8,1,CTRI/2020/02/023129,0.10073807869688256,-0.007920369407252624,0.560966535764069,0.17017540294700081,PCV14 vs PCV13
9,3,CTRI/2020/02/023129,0,-0.04268261227059784,0.011789919617314772,0.015199198561806394,PCV14 vs PCV13
10,5,CTRI/2020/02/023129,0,-0.10558119814379961,0.0801986570583389,0.044248924943152315,PCV14 vs PCV13
12,7F,CTRI/2020/02/023129,0.03365792044975002,-0.021186760846166972,0.28399952956342933,0.08768357029406297,PCV14 vs PCV13
13,19A,CTRI/2020/02/023129,0.002686990375091014,-0.02892146585071712,0.2326353664638927,0.0721001449866507,PCV14 vs PCV13
1,4,NCT01215188,0,-0.019147991913763394,0.05195491822279473,0.01812571427655127,PCV15 vs PCV13
1,4,NCT02037984,0,-0.2599191819674876,0.0023669916398761006,0.07964597118883818,PCV15 vs PCV13
1,4,NCT03692871,0,-0.19515192714436602,0.0857144346327267,0.070527223609419,PCV15 vs PCV13
1,4,NCT03893448,0,-0.00901297355351287,0.0494328554189558,0.016072425153039933,PCV15 vs PCV13
1,4,NCT04384107,0.0238617192113888,-0.004631477223177932,0.19882887961501908,0.06257530292884597,PCV15 vs PCV13
1,4,NCT02987972_lot1,0,-0.05668424796072156,0.024823246109994045,0.019159319634326384,PCV15 vs PCV13
1,4,NCT02987972_lot2,0,-0.04284597578751041,0.034421263417483514,0.01844287347707805,PCV15 vs PCV13
1,4,NCT03848065,0.08414697674997296,-0.018085582976652723,0.4290454658914044,0.1261096218622991,PCV15 vs PCV13
2,6B,NCT01215188,0.0622675060770459,0,0.28198469610553906,0.08928384108547081,PCV15 vs PCV13
2,6B,NCT02037984,0.21330487060202796,0,0.6910174235594506,0.20758917910399602,PCV15 vs PCV13
2,6B,NCT03692871,0.08903185218745824,-0.049111322739650944,0.45568751513483013,0.13608188264765558,PCV15 vs PCV13
2,6B,NCT03893448,0.047839749502178286,0,0.17035422812700865,0.050331033752364855,PCV15 vs PCV13
2,6B,NCT04384107,0.2001743824687514,0,0.532918508568307,0.13467015285158884,PCV15 vs PCV13
2,6B,NCT02987972_lot1,0,-0.09950700735008855,0.06559046735341248,0.03840771280014567,PCV15 vs PCV13
2,6B,NCT02987972_lot2,0.01127837272921739,-0.033115777462898684,0.1317642804978909,0.0419311501267125,PCV15 vs PCV13
2,6B,NCT03848065,0.18001713541891973,0,0.513973893233941,0.14455628078327756,PCV15 vs PCV13
3,9V,NCT01215188,0,-0.012544063908686783,0.059563779290301246,0.01847866741519954,PCV15 vs PCV13
3,9V,NCT02037984,0,-0.017110136670074657,0.09584446996557665,0.030429409338974298,PCV15 vs PCV13
3,9V,NCT03692871,0,-0.04571312696601741,0.04751791010553732,0.02050029245489877,PCV15 vs PCV13
3,9V,NCT03893448,0,-0.006756807086147275,0.03293524066763878,0.010590394830289698,PCV15 vs PCV13
3,9V,NCT04384107,0,-0.015532337509545033,0.062396163520333614,0.019540024220705925,PCV15 vs PCV13
3,9V,NCT02987972_lot1,0,-0.007264903155706847,0.040194545959788865,0.012635875513015938,PCV15 vs PCV13
3,9V,NCT02987972_lot2,0,-0.029258269154027048,0.007322506642921539,0.009857235447172897,PCV15 vs PCV13
3,9V,NCT03848065,0,-0.03619461647153268,0.149279313424729,0.048651039469236906,PCV15 vs PCV13
4,14,NCT01215188,0.08362783931885653,0,0.2882894058274047,0.08372455761984098,PCV15 vs PCV13
4,14,NCT02037984,0.10467952487988086,0,0.4783066683038521,0.14444480679715455,PCV15 vs PCV13
4,14,NCT03692871,0.09299973937059391,-0.038142909063788005,0.5052863669529148,0.1514808352363387,PCV15 vs PCV13
4,14,NCT03893448,0.11222949704167373,0,0.3526291896590835,0.10012697008355241,PCV15 vs PCV13
4,14,NCT04384107,0.10541937864626183,0,0.39830156153098994,0.10686093492803382,PCV15 vs PCV13
4,14,NCT02987972_lot1,0.032019083517395686,-0.0077321461509417076,0.16904245197352322,0.04987446667301639,PCV15 vs PCV13
4,14,NCT02987972_lot2,0.049816799947563606,0,0.22542554698146533,0.06550255694303005,PCV15 vs PCV13
4,14,NCT03848065,0.053643299188407934,-0.08483465331731327,0.35506557081015716,0.11250946750906014,PCV15 vs PCV13
5,18C,NCT01215188,0,0,0.3229551663455189,0.09936308565829176,PCV15 vs PCV13
5,18C,NCT02037984,0,-0.049056457458971976,0.13662991884478853,0.04518585183825893,PCV15 vs PCV13
5,18C,NCT03692871,0,-0.09950841260971237,0.15171907119313907,0.05719720038445399,PCV15 vs PCV13
5,18C,NCT03893448,0,0,0.21324398127250807,0.06632973395322855,PCV15 vs PCV13
5,18C,NCT04384107,0.05685865681952418,0,0.3071605102650701,0.09402335279592099,PCV15 vs PCV13
5,18C,NCT02987972_lot1,0,0,0.21161412347828729,0.06586514714492078,PCV15 vs PCV13
5,18C,NCT02987972_lot2,0,-0.03769736129541144,0.046150905866026874,0.01823241387081202,PCV15 vs PCV13
5,18C,NCT03848065,0.07173993676415247,-1.0159543242723589e-5,0.4225492152513288,0.12908523938698815,PCV15 vs PCV13
6,19F,NCT01215188,0,-0.0231998198305644,0.1804761845485482,0.056677278048610155,PCV15 vs PCV13
6,19F,NCT02037984,0,-0.10646379272149549,0.020514754489196572,0.03197715423856719,PCV15 vs PCV13
6,19F,NCT03692871,0,-0.016980172909349164,0.15338783997141298,0.04704973380986239,PCV15 vs PCV13
6,19F,NCT03893448,0,-0.014742213473330065,0.11587429357561116,0.03673314431858193,PCV15 vs PCV13
6,19F,NCT04384107,0.016171252140341874,-0.01873744257597831,0.2024433643336547,0.060900639930998555,PCV15 vs PCV13
6,19F,NCT02987972_lot1,0,-0.005347394524791782,0.060025436675196844,0.018110259018953825,PCV15 vs PCV13
6,19F,NCT02987972_lot2,0,-0.005247463061925294,0.05025107581013665,0.01473275183778846,PCV15 vs PCV13
6,19F,NCT03848065,0.03190084431146101,-0.022562811337126072,0.28205891238478187,0.0837800851450627,PCV15 vs PCV13
7,23F,NCT01215188,0,0,0.2055713082070083,0.06478230220194715,PCV15 vs PCV13
7,23F,NCT02037984,0,-0.07188126395755205,0.13139072056426468,0.045702986998686954,PCV15 vs PCV13
7,23F,NCT03692871,0,-0.1477130089186706,0.15825083675713986,0.06585701366262185,PCV15 vs PCV13
7,23F,NCT03893448,0,0,0.10896016991779538,0.03312733683955176,PCV15 vs PCV13
7,23F,NCT04384107,0.05844990249920068,0,0.3254157459218461,0.0948204670028383,PCV15 vs PCV13
7,23F,NCT02987972_lot1,0,-0.03490000218542588,0.060573814560372266,0.021353696444991226,PCV15 vs PCV13
7,23F,NCT02987972_lot2,0,-0.14770034206267718,0,0.043805985647460625,PCV15 vs PCV13
7,23F,NCT03848065,0.06372130938215603,-0.037726795782384845,0.4678033195203993,0.13552435738772048,PCV15 vs PCV13
8,1,NCT01215188,0.01515298566144585,0,0.34118801287521067,0.11159741041958855,PCV15 vs PCV13
8,1,NCT02037984,0,-0.01960845079849378,0.26170832984600073,0.08102962235778134,PCV15 vs PCV13
8,1,NCT03692871,0,-0.010031416845334581,0.39913929663930575,0.1374690832886789,PCV15 vs PCV13
8,1,NCT03893448,0.02528054166353577,-1.6540299766493093e-6,0.46044545592561453,0.14740910420211198,PCV15 vs PCV13
8,1,NCT04384107,0.12689572888519063,-0.011743400751252377,0.6238139605789189,0.19046299090556762,PCV15 vs PCV13
8,1,NCT02987972_lot1,0,0,0.33961169549320364,0.10781173482492076,PCV15 vs PCV13
8,1,NCT02987972_lot2,0,0,0.2129599631919353,0.06763189116111624,PCV15 vs PCV13
8,1,NCT03848065,0.06907469587411708,-0.030403510145323602,0.46337179123036076,0.13752589746511226,PCV15 vs PCV13
9,3,NCT01215188,0,-0.2124955238724813,0.06002159549433475,0.06892982804244203,PCV15 vs PCV13
9,3,NCT02037984,0,-0.25313033228239495,0.0666130614187386,0.08315754336343342,PCV15 vs PCV13
9,3,NCT03692871,0,-0.14511720452979648,0.03273961585250658,0.04789332350043401,PCV15 vs PCV13
9,3,NCT04384107,0,-0.32304573586910673,0.10380219625775061,0.10762511336198073,PCV15 vs PCV13
9,3,NCT02987972_lot1,0,-0.22985377718585986,0.06680241360929677,0.07493857819496848,PCV15 vs PCV13
9,3,NCT02987972_lot2,0,-0.21620253005758808,0.06323753658551103,0.0714419045425753,PCV15 vs PCV13
9,3,NCT03848065,0,-0.2299073024535867,0.0591513356996596,0.07672413463321331,PCV15 vs PCV13
10,5,NCT01215188,0,-0.008039286154472313,0.10403818856592938,0.03340993238506496,PCV15 vs PCV13
10,5,NCT02037984,0,-0.022649916186004423,0.24014987073105587,0.07738983454770325,PCV15 vs PCV13
10,5,NCT03692871,0,-0.10057720947372863,0.1877040340302387,0.06510089754021606,PCV15 vs PCV13
10,5,NCT03893448,0,-0.018662635554673488,0.20537490282723667,0.06834699171520277,PCV15 vs PCV13
10,5,NCT04384107,0,-0.020938675057614178,0.22128500400539683,0.07056050526164266,PCV15 vs PCV13
10,5,NCT02987972_lot1,0,-0.009261805312434587,0.16795175154858602,0.05264677635956081,PCV15 vs PCV13
10,5,NCT02987972_lot2,0,-0.006907237217368964,0.1339177400735216,0.04283870039507878,PCV15 vs PCV13
10,5,NCT03848065,0,-0.05332721398434157,0.23663981061047043,0.07687006900209577,PCV15 vs PCV13
11,6A,NCT01215188,0.40325252334079575,0,0.9562241943436874,0.22695856579384527,PCV15 vs PCV13
11,6A,NCT02037984,0.17695717971745184,0,0.5852156699924318,0.15353655860680282,PCV15 vs PCV13
11,6A,NCT03692871,0.3003986570022885,0,0.8492054362955459,0.20810560619948057,PCV15 vs PCV13
